=== DATA FILE SAVED WITH SOFTWARE VERSION: V2.9.8 ===
=== WAVECATCHER SYSTEM OF TYPE 3 WITH 72 CHANNELS AND GAIN: 1.0 ===
=== Rate coincidence masks (4 bits) for ch 0 to 63: 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 === Posttrig in ns for SamBlock 0 to 35: 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 0 0 0 0 ===
=== Common: EventNumber UnixTime Date Time TDC ===
=== Individual per channel: ChannelNb EventID MeasuredBaseline[Volts] Amplitude[Volts] Charge[pC] LeadingEdgeTime[ns] TrailingEdgeTime[ns] RateCounter[Hz]=== 
17 75 0.058774 1.193301 42936.047 713.335 2557.250  101657.23
=== Event 76 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 254312 == Nb of channels = 2 ===
16 76 -1.019494 0.023994  497.507 1790.137 2028.687    5229.67
17 76 0.058506 1.191576 43192.516 703.009 2557.250  101657.23
=== Event 77 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 257566 == Nb of channels = 2 ===
16 77 -1.018241 0.020439  313.068 1670.151 1729.121    5229.67
17 77 0.058468 1.194298 42661.012 725.562 2557.249  101657.23
=== Event 78 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 260821 == Nb of channels = 2 ===
16 78 -1.017196 0.027740  264.541 1897.255 1901.813    5229.67
17 78 0.058376 1.197701 43110.965 706.941 2557.249  101657.23
=== Event 79 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 264075 == Nb of channels = 2 ===
16 79 -1.009055 -0.021001  -72.755 736.713 742.613    5229.67
17 79 0.058998 1.199105 42524.711 730.293 2557.248  101657.23
=== Event 80 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 267330 == Nb of channels = 2 ===
16 80 -1.019349 0.020955  350.411 1663.393 1747.999    5229.67
17 80 0.058502 1.191543 42953.793 713.073 2557.250  101657.23
=== Event 81 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 270585 == Nb of channels = 2 ===
16 81 -1.010771 -0.021848 -271.950 1844.559 1854.735    5229.67
17 81 0.058998 1.191989 43282.242 698.471 2557.250  101657.23
=== Event 82 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 273839 == Nb of channels = 2 ===
16 82 -1.019955 0.026748  296.697 970.906 976.037    5229.67
17 82 0.058695 1.194886 42629.938 726.566 2557.249  101657.23
