=== DATA FILE SAVED WITH SOFTWARE VERSION: V2.9.8 ===
=== WAVECATCHER SYSTEM OF TYPE 3 WITH 72 CHANNELS AND GAIN: 1.0 ===
=== Rate coincidence masks (4 bits) for ch 0 to 63: 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 === Posttrig in ns for SamBlock 0 to 35: 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 0 0 0 0 ===
=== Common: EventNumber UnixTime Date Time TDC ===
=== Individual per channel: ChannelNb EventID MeasuredBaseline[Volts] Amplitude[Volts] Charge[pC] LeadingEdgeTime[ns] TrailingEdgeTime[ns] RateCounter[Hz]=== 
16 55 -1.015112 0.015416  280.944 1728.874 1737.197   26451.94
17 55 0.166056 1.089475 39120.539 711.147 2557.249  100360.58
=== Event 56 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 189867 == Nb of channels = 2 ===
16 56 -1.021136 0.023147  558.970 1860.966 2286.756   26451.94
17 56 0.165598 1.086576 39213.426 707.866 2557.249  100360.58
=== Event 57 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 193122 == Nb of channels = 2 ===
16 57 -1.010692 -0.016302 -100.312 1563.167 1566.930   26451.94
17 57 0.165941 1.089463 39341.586 701.180 2557.249  100360.58
=== Event 58 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 196377 == Nb of channels = 2 ===
16 58 -1.017133 0.023717  402.713 1032.799 1291.900   26451.94
17 58 0.165751 1.088873 39496.652 694.652 2557.249  100360.58
=== Event 59 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 199631 == Nb of channels = 2 ===
16 59 -1.007725 -0.019168 -306.537 362.820 534.911   26451.94
17 59 0.165827 1.084168 38891.102 722.449 2557.250  100360.58
=== Event 60 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 202886 == Nb of channels = 2 ===
16 60 -1.051836 0.035698  938.101 1910.980 2557.189   26451.94
17 60 0.165938 1.084092 38993.461 717.485 2557.250  100360.58
=== Event 61 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 206141 == Nb of channels = 2 ===
16 61 -1.006390 -0.028881 -446.831 602.726 608.230   26451.94
17 61 0.165710 1.084323 39163.734 709.972 2557.250  100360.58
=== Event 62 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 209396 == Nb of channels = 2 ===
16 62 -1.012791 -0.016436  -60.328 408.342 414.577   26451.94
17 62 0.165482 1.091449 39354.531 701.638 2557.248  100360.58
=== Event 63 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 212650 == Nb of channels = 2 ===
16 63 -1.015037 0.018705  -10.796 2050.023 2053.923   26451.94
17 63 0.165942 1.085678 38657.082 732.772 2557.250  100360.58
=== Event 64 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 215905 == Nb of channels = 2 ===
16 64 -1.024836 0.026356  388.594 853.321 859.924   26451.94
17 64 0.165674 1.092073 38747.254 729.332 2557.248  100360.58
=== Event 65 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 219160 == Nb of channels = 2 ===
16 65 -1.007219 -0.017031 -268.174 1113.488 1200.774   26451.94
17 65 0.165789 1.087898 38862.586 723.773 2557.249  100360.58
=== Event 66 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 222415 == Nb of channels = 2 ===
16 66 -1.016446 0.168788 1569.249 2051.266 2557.185   26451.94
17 66 0.165941 1.092034 39062.020 714.243 2557.248  100360.58
